Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min
2015,1,PARIS NORD,DOUAI,68.6902173913,184,0,8,19.25,1.0597826087,21,25.0952380952,3.02173913043,0.25,0.2,0.15,0.1,0.2,0.1,7,4,1
2015,1,NICE VILLE,PARIS LYON,337.221590909,178,2,18,15.3333333332999,1.8125,23,79.4782608696,10.7102272727,0.277777777778,0.0555555555556,0.333333333333,0.222222222222,0.0555555555556,0.0555555555556,23,14,11
2015,1,PARIS LYON,MONTPELLIER,206.296238245,320,1,18,17.0555555555999,1.12225705329,35,36.2571428571,5.22570532915,0.484848484848,0.212121212121,0.181818181818,0.0606060606061,0.030303030303,0.030303030303,35,12,7
2015,1,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.571428571,113,1,4,13.25,0.544642857143,15,17.6666666667,3.80357142857,0.214285714286,0.214285714286,0.214285714286,0.285714285714,0.0714285714286,0,4,1,0
2015,1,MONTPELLIER,PARIS LYON,205.734589041,292,0,16,12.6875,1.00342465752999,25,36.24,2.72602739726,0.5,0.166666666667,0.125,0.125,0,0.0833333333333,25,11,3
2015,1,PARIS MONTPARNASSE,ST PIERRE DES CORPS,63.0046403712,431,0,6,31.5,0.566125290022999,39,19.2564102564,1.95591647332,0.147058823529,0.382352941176,0.147058823529,0.147058823529,0.117647058824,0.0588235294118,6,6,3
2015,1,ST PIERRE DES CORPS,PARIS MONTPARNASSE,64.3618581906999,409,0,32,36.96875,3.48655256724,48,27.0416666667,2.88753056235,0.25,0.3,0.125,0.125,0.1,0.1,17,13,10
2015,1,ST MALO,PARIS MONTPARNASSE,193.393258427,89,0,0,0,0.0224719101124,4,36,1.83146067415999,0.5,0.5,0,0,0,0,4,1,1
2015,1,PARIS LYON,BESANCON FRANCHE COMTE TGV,128.369791667,192,0,10,15.3,0.9375,12,21.25,2.70833333333,0.166666666667,0.166666666667,0.25,0.25,0.0833333333333,0.0833333333333,5,1,1
2015,1,PARIS EST,NANCY,93.3838028169,284,0,11,22.2727272727,0.929577464789,19,25.8421052632,2.29225352113,0.142857142857,0.642857142857,0,0.142857142857,0.0714285714286,0,10,6,1
2015,1,BESANCON FRANCHE COMTE TGV,PARIS LYON,131.094660194,208,2,12,12.75,1.10194174757,13,32.8461538462,1.55825242718,0.230769230769,0.153846153846,0.307692307692,0,0.0769230769231,0.230769230769,12,5,2
2015,1,NANTES,PARIS MONTPARNASSE,136.895192308,521,1,21,25.380952381,1.36730769231,40,29.8,2.95961538462,0.210526315789,0.447368421053,0.184210526316,0.0789473684211,0.0526315789474,0.0263157894737,26,6,3
2015,1,RENNES,LYON PART DIEU,260.686746988,84,1,7,16.1428571429,1.93975903614,19,68.2631578947,16.7951807229,0.526315789474,0.105263157895,0,0.315789473684,0,0.0526315789474,19,15,10
2015,1,DIJON VILLE,PARIS LYON,97.4963768116,416,2,70,13.9857142856999,3.32608695652,28,31.5357142857,1.5845410628,0.142857142857,0.178571428570999,0.357142857143,0.0357142857143,0.107142857143,0.178571428570999,21,10,4
2015,1,REIMS,PARIS EST,46.8536585366,205,0,2,65,0.760975609756,9,35.8888888889,0.60487804878,0.285714285714,0.285714285714,0.285714285714,0.142857142857,0,0,4,3,3
